experiment,test_source,feature_type,model_type,model,f1,mcc,roc,pr,bal_acc,acc,best_params,train_samples,test_samples,anomaly_rate
HPC_hybrid,HPC,hybrid,supervised,dt,0.20421393841166938,0.08170988691171407,0.5673701298701299,0.27354961123920113,0.5686569528032943,0.509,"{'max_depth': 10, 'min_samples_split': 5}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,rf,0.16,0.017611119902948055,0.6469551789673741,0.161735141549439,0.5135979003574822,0.664,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,gb,0.26254002134471716,0.1754434374729832,0.5914294764468981,0.13522056515155476,0.6424894791619531,0.6545,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,supervised,xgb,0.21434898139946856,0.09966742416406368,0.6971610706366804,0.1774957145025265,0.5836180370152495,0.5565,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.098
HPC_hybrid,HPC,hybrid,unsupervised,iso,0.15440289505428226,-0.05793333353969244,0.4926976333770759,0.10118705601390565,0.4567966876329246,0.299,N/A,10000,2000,0.098
HPC_hybrid,HPC,hybrid,unsupervised,ocsvm,0.17927710843373493,0.013106095488919643,0.4628263722340377,0.20387537725185023,0.5052547626589439,0.1485,N/A,10000,2000,0.098
HPC_hybrid,HPC,hybrid,unsupervised,lof,0.19846491228070176,0.09273288764854092,0.7700829223041765,0.2752965010577116,0.5606814787999457,0.269,N/A,10000,2000,0.098
OpenSSH_bert,OpenSSH,bert,supervised,nb,0.8471337579617835,-0.08619892407020183,0.9159525847619959,0.9813566870326778,0.4747629537400632,0.736,{'var_smoothing': 1e-09},10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,lr,0.957939354417998,0.8259513335786486,0.9628238435015803,0.9870529108413647,0.9401099032659707,0.9355,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,knn,0.5926188786373314,-0.36234163452383256,0.22787643065798296,0.72917665129517,0.2849583373240111,0.426,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,svm,0.9888428434810328,0.9485238856287355,0.9903026530025859,0.9971769087432556,0.980276075088593,0.9825,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,dt,0.6072520751419834,0.3400914101639533,0.8112062721482617,0.9513684824892242,0.6992685087635284,0.5505,"{'max_depth': 10, 'min_samples_split': 2}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,rf,0.9148936170212766,0.724403113151552,0.9294877166938034,0.9836818167459361,0.9170098649554641,0.876,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,gb,0.9160671462829736,0.7259557847603728,0.8738387127669763,0.9700854952407555,0.91709965520544,0.8775,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,supervised,xgb,0.9682695453058554,0.8734001009656253,0.9970234532132939,0.999038114035572,0.9683639019251029,0.9515,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,unsupervised,iso,0.35687732342007433,-0.5791693351740391,0.07166608801838903,0.6223512509103339,0.15002753567665933,0.2215,N/A,10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,unsupervised,ocsvm,0.823042836041359,-0.13524133162387175,0.14627879274015898,0.6703046642846183,0.4513755866296332,0.7005,N/A,10000,2000,0.788
OpenSSH_bert,OpenSSH,bert,unsupervised,lof,0.7103648692282855,-0.2824778583492823,0.26516258021262334,0.7455414764630797,0.35252250742266067,0.5515,N/A,10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,nb,0.38422131147540983,0.24644668084746535,0.3747994684417202,0.8134160860340229,0.6177928359352552,0.399,{'var_smoothing': 1e-09},10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,lr,0.7537406483790524,-0.24314533022234058,0.5282076070299779,0.8710290073176856,0.3847452351307346,0.605,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,knn,0.44226044226044225,0.2568983693646975,0.6542663837276123,0.9182005058712874,0.632153289914759,0.4325,"{'n_neighbors': 5, 'weights': 'distance'}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,svm,0.570611369324276,-0.4117920856960614,0.46330871085145103,0.848403688463582,0.2543518341155062,0.3995,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,dt,0.6739495798319328,0.42028240184684734,0.8690708504932478,0.970781500176781,0.7520831337994445,0.612,"{'max_depth': 10, 'min_samples_split': 5}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,rf,0.589904046725073,0.1493371832720965,0.49062589790249966,0.846826794531651,0.5898680681927019,0.5085,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,gb,0.664654594232059,-0.3130412717858355,0.3472667847907289,0.7931110957998546,0.3250167608466622,0.5,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,supervised,xgb,0.7671978235522736,0.49266617372716803,0.9349454673881813,0.9821788679823684,0.8013420649363088,0.7005,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,unsupervised,iso,0.03749383325111001,-0.9290636824570336,0.012221949525907522,0.5831364105134005,0.025027535676659322,0.0245,N/A,10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,unsupervised,ocsvm,0.8442646633920832,-0.12811443470195175,0.07471297050090987,0.6267917977604469,0.4635152284263959,0.7305,N/A,10000,2000,0.788
OpenSSH_hybrid,OpenSSH,hybrid,unsupervised,lof,0.8614595210946409,-0.0770592723028587,0.11169009194521598,0.6708542091439076,0.48291590843788906,0.757,N/A,10000,2000,0.788
Proxifier_bert,Proxifier,bert,supervised,nb,0.09300095877277086,0.016789796178503322,0.4912184234334285,0.46494450535929394,0.5028901734104047,0.054,{'var_smoothing': 1e-09},10000,2000,0.0485
Proxifier_bert,Proxifier,bert,supervised,lr,0.1318830727396329,0.15239133485734774,0.7921729661792828,0.2715145005138496,0.6644771413557541,0.3615,"{'C': 1.0, 'penalty': 'l2', 'solver': 'lbfgs'}",10000,2000,0.0485
Proxifier_bert,Proxifier,bert,supervised,knn,0.07485963817841547,-0.07038168643985783,0.4990898797882887,0.3301682407904923,0.4293519185659106,0.2585,"{'n_neighbors': 3, 'weights': 'distance'}",10000,2000,0.0485
